------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:39 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 143
decoder.pkts                                  | Total                     | 171
decoder.bytes                                 | Total                     | 14457
decoder.ipv4                                  | Total                     | 147
decoder.ipv6                                  | Total                     | 8
decoder.ethernet                              | Total                     | 171
decoder.tcp                                   | Total                     | 116
decoder.udp                                   | Total                     | 19
decoder.icmpv4                                | Total                     | 12
decoder.icmpv6                                | Total                     | 8
decoder.avg_pkt_size                          | Total                     | 84
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 9
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv6.zero_len_padn              | Total                     | 6
tcp.sessions                                  | Total                     | 9
tcp.syn                                       | Total                     | 29
tcp.synack                                    | Total                     | 29
tcp.rst                                       | Total                     | 26
detect.alert                                  | Total                     | 81
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 3
app_layer.flow.dns_udp                        | Total                     | 6
app_layer.tx.dns_udp                          | Total                     | 6
app_layer.flow.failed_udp                     | Total                     | 9
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 843776
http.memuse                                   | Total                     | 1344
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:47 (uptime: 0d, 00h 00m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 516
decoder.pkts                                  | Total                     | 545
decoder.bytes                                 | Total                     | 52990
decoder.ipv4                                  | Total                     | 520
decoder.ipv6                                  | Total                     | 9
decoder.ethernet                              | Total                     | 545
decoder.tcp                                   | Total                     | 439
decoder.udp                                   | Total                     | 47
decoder.icmpv4                                | Total                     | 32
decoder.icmpv6                                | Total                     | 9
decoder.avg_pkt_size                          | Total                     | 97
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 31
flow.udp                                      | Total                     | 37
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 6
tcp.sessions                                  | Total                     | 31
tcp.syn                                       | Total                     | 94
tcp.synack                                    | Total                     | 94
tcp.rst                                       | Total                     | 78
detect.alert                                  | Total                     | 300
app_layer.flow.http                           | Total                     | 16
app_layer.tx.http                             | Total                     | 16
app_layer.flow.dns_udp                        | Total                     | 17
app_layer.tx.dns_udp                          | Total                     | 17
app_layer.flow.failed_udp                     | Total                     | 20
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 2
flow.mgr.flows_notimeout                      | Total                     | 2
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 851968
http.memuse                                   | Total                     | 1536
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:55 (uptime: 0d, 00h 00m 24s)
